ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
2001,simple,24-MG04,Aim Analog Watch,1,0,visible,This is a simple product called Aim Analog Watch,"<p>Stay light-years ahead of the competition with our Aim Analog Watch. The flexible, rubberized strap is contoured to conform to the shape of your wrist for a comfortable all-day fit. The face features three illuminated hands, a digital read-out of the current time, and stopwatch functions.</p> <ul> <li>Japanese quartz movement.</li> <li>Strap fits 7"" to 8.0"".</li> </ul>",,,,,1,100,0,0,1,,,,1,,,45,Gear>Watches,,,http://eimages.valtim.com/acme-images/product/m/g/mg04-bk-0.jpg,,,,,,,,,,Activity,Recreation|Sports|Outdoor|Gym,Gender,Men,Material,Plastic|Rubber,,,,,,,,,
2002,simple,24-MG01,Endurance Watch,1,0,visible,This is a simple product called Endurance Watch,"<p>It's easy to track and monitor your training progress with the Endurance Watch. You'll see standard info like time, date and day of the week, but it also functions for the serious high-mileage athete: lap counter, stopwatch, distance, heart rate, speed/pace, cadence and altitude.</p> <ul> <li>Digital display.</li> <li>LED backlight.</li> <li>Strap fits 7"" to 10"".</li> <li>1-year limited warranty.</li> <li>Comes with polished metal case.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,49,Gear>Watches,,,http://eimages.valtim.com/acme-images/product/m/g/mg01-bk-0.jpg,,,,,,,,,,Activity,Recreation|Athletic,Gender,Men,Material,Metal|Rubber|Silicone,,,,,,,,,
2003,simple,24-MG03,Summit Watch,1,0,visible,This is a simple product called Summit Watch,"<p>Trek high and low in the attractive Summit Watch, which features a digital LED display with time and date, stopwatch, lap counter, and 3-second backlight. It can also calculate the number of steps taken and calories burned.</p> <ul> <li>Brushed metal case.</li> <li>Water resistant (100 meters).</li> <li>Buckle clasp.</li> <li>Strap fits 7"" - 10"".</li> <li>1-year limited warranty.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,54,Gear>Watches|Collections>New Luma Yoga Collection,,,http://eimages.valtim.com/acme-images/product/m/g/mg03-br-0.jpg,,,,,,,,,,Activity,Recreation|Athletic|Sports|Outdoor|Gym,Gender,Men|Women|Unisex,Material,Metal|Plastic|Silicone,,,,,,,,,
2004,simple,24-MG05,Cruise Dual Analog Watch,1,0,visible,This is a simple product called Cruise Dual Analog Watch,"<p>Whether you're traveling or wish you were, you'll never let time zones perplex you again with the Cruise Dual Analog Watch. The thick, adjustable band promises a comfortable, personalized fit to this classy, modern time piece.</p> <ul> <li>Two dials.</li> <li>Stainless steel case.</li> <li>Adjustable leather band.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,55,Gear>Watches|Collections>New Luma Yoga Collection,,,http://eimages.valtim.com/acme-images/product/m/g/mg05-br-0.jpg,,,,,,,,,,Activity,Recreation,Gender,Men,Material,Leather|Plastic,,,,,,,,,
2005,simple,24-MG02,Dash Digital Watch,1,0,visible,This is a simple product called Dash Digital Watch,"<p>The Dash Digital Watch will challenge you to push harder and longer. Log workouts by date, average, and segment times, and recharge by setting hydration and nutrition alarms. This watch is styled with a sleek, square face and durable rubber strap for a long life.</p> <ul> <li>Digital display.</li> <li>LED backlight.</li> <li>Rubber strap with buckle clasp.</li> <li>1-year limited warranty.</li>",,,,,1,100,0,0,1,,,,1,,,92,Gear>Watches|Collections>New Luma Yoga Collection,,,http://eimages.valtim.com/acme-images/product/m/g/mg02-bk-0.jpg,,,,,,,,,,Activity,Athletic|Sports|Outdoor|Gym,Gender,Men,Material,Rubber,,,,,,,,,
2006,simple,24-WG09,Luma Analog Watch,1,0,visible,This is a simple product called Luma Analog Watch,"<p>Designed to stand up to your active lifestyle, this women's Luma Analog Watch features a tasteful brushed chrome finish and a stainless steel, water-resistant construction for lasting durability.</p> <ul> <li>Precision Miyota&reg; three-hand movement.</li> </ul>",,,,,1,100,0,0,1,,,,1,,43,43,Gear>Watches,,,http://eimages.valtim.com/acme-images/product/w/g/wg09-gr-0.jpg,,,,,,,,,,Activity,Recreation,Gender,Women,Material,Stainless Steel,,,,,,,,,
1753,variation,WT09-XS-White,Breathe-Easy Tank-XS-White,1,0,visible,,"<p>The Breathe Easy Tank is so soft, lightweight, and comfortable, you won't even know it's there -- until its high-tech Cocona&reg; fabric starts wicking sweat away from your body to help you stay dry and focused. Layer it over your favorite sports bra and get moving.</p> <p>&bull; Machine wash/dry.<br />&bull; Cocona&reg; fabric.</p>",,,,,1,100,0,0,1,,,,1,,,34,Clothing>Women>Tops>Bras & Tanks|Clothing>Promotions>Women Sale|Clothing>Collections>Erin Recommends|Clothing,,,"http://eimages.valtim.com/acme-images/product/w/t/wt09-white_main.jpg,http://eimages.valtim.com/acme-images/product/w/t/wt09-white_back.jpg",,,WT09,,,,,,,Size,XS,Color,White,,,,,,,,,,,
2007,simple,24-WG01,Bolo Sport Watch,1,0,visible,This is a simple product called Bolo Sport Watch,"<p>The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.</p> <ul> <li>Displays time, day and date.</li> <li>Two-tone design.</li> <li>12/24 hour formats.</li> <li>Nickel-free buckle on band.</li> <li>Battery included.</li> </ul>",,,,,1,100,0,0,1,,,,1,,49,49,Gear>Watches,,,http://eimages.valtim.com/acme-images/product/w/g/wg01-bk-0.jpg,,,,,,,,,,Activity,Recreation|Sports,Gender,Women,Material,Silicone,,,,,,,,,
2008,simple,24-WG03,Clamber Watch,1,0,visible,This is a simple product called Clamber Watch,"<p>Keep track of time on the treadmill or trail with our Clamber Watch. The flexible, rubberized strap is contoured to conform to your wrist for a comfortable fit all day. The face features an illuminated digital read-out of the current time and stopwatch functions.</p> <ul> <li>Japanese quartz movement.</li> <li>Strap fits 5"" to 6.0"".</li> </ul>",,,,,1,100,0,0,1,,,,1,,,54,Gear>Watches,,,"http://eimages.valtim.com/acme-images/product/w/g/wg03-gr-0.jpg, http://eimages.valtim.com/acme-images/product/w/g/wg03-sa-0.jpg",,,,,,,,,,Activity,Recreation|Athletic|Outdoor|Gym,Gender,Women,Material,Plastic|Rubber|Silicone,,,,,,,,,
2009,simple,24-WG02,Didi Sport Watch,1,0,visible,This is a simple product called Didi Sport Watch,"<p>The Didi Sport Watch helps you keep your workout plan down to the second. The vertical, digital face looks sleek and futuristic. This watch is programmed with tons of helpful features such as a timer, an alarm clock, a pedometer, and more to help make your excercise more productive.</p> <ul> <li>Digital display.</li> <li>LED backlight.</li> <li>Rubber strap with buckle clasp.</li> <li>1-year limited warranty.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,92,Gear>Watches|Collections>New Luma Yoga Collection,,,http://eimages.valtim.com/acme-images/product/w/g/wg02-bk-0.jpg,,,,,,,,,,Activity,Athletic|Gym,Gender,Women,Material,Metal|Rubber|Silicone,,,,,,,,,
